,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
175,1.3503965992816809,1.0998980255081203,1.0409243577183802,0.649641281490716
176,1.3255985645410273,1.0656093002241978,1.0101580954587202,0.6245122944124848
177,1.3669286224421167,1.036324907000067,0.98353657798924,0.6048490905837502
178,1.3462635934915719,1.0122064136393731,0.9615618575067695,0.5890006573048205
179,1.37312813112728,0.9927527303076276,0.9440164208917853,0.5752762457940682
180,1.3958596629728792,0.9770109796109285,0.9300382004316752,0.5626796531328329
181,1.4123916861333148,0.9638011557773423,0.9183529407795139,0.5510367262532042
182,1.4640542585096765,0.95181539442285,0.9075288550653196,0.5404260631940209
183,1.5033178135157115,0.9396384806768151,0.8961636431803509,0.5304650837660319
184,1.571512409052509,0.9259257551107029,0.8830955974466602,0.5201656823954856
185,1.5777119177376724,0.9096817473880922,0.8675626902969503,0.5084723311670678
186,1.5797784206327268,0.8904864376857425,0.8492789715227675,0.4949335389712045
187,1.5859779293178902,0.8684827334136542,0.8283508755841045,0.47997649236121187
188,1.5529138829970186,0.8441988808425933,0.8051248408171197,0.4647343166519166
189,1.4619877556146221,0.8184751731485702,0.7802015892607111,0.45065505059966104
190,1.3751946340223344,0.792453734109521,0.7545303017278909,0.43904659746791763
191,1.3008005298003735,0.7673710956416174,0.7292827628875442,0.43062632210062185
192,1.2078078995229224,0.7441412972662508,0.7054633855171465,0.4252342388499727
193,1.077618217134491,0.7231629388792422,0.6836814779853796,0.4219269859465647
194,0.9846255868570399,0.7046492424918925,0.6644093797348525,0.41945894176994125
195,0.852369401573554,0.6891050201908873,0.648378775294719,0.4168642912577899
196,0.755243765505994,0.6775453759403001,0.6367344300235123,0.41385433586961
197,0.6725836497038152,0.6714559913994825,0.6309609147129273,0.4109617456705967
198,0.6043890541670178,0.6724401089271874,0.632519346807792,0.409446564763522
199,0.5775245165313098,0.6816028424790062,0.6422529298541604,0.4109446472829099
200,0.5444604702104382,0.699227320759415,0.6601510097933547,0.4169297102591924
201,0.5506599788956016,0.7248625408559276,0.6855550782530341,0.42820404359529324
