,timeStamps,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
1394,55.796,-0.5349923122333928,0.47722287542532216,1.1605546662572814,-2.448420324740299
1395,55.836,-0.4351251889619498,0.5769301793137295,1.1743059022637536,-2.073552122020632
1396,55.876,-0.30169552446644293,0.6801193696014867,1.1924700052275794,-1.7008340362519951
1397,55.916,-0.19863217231936198,0.7818306356766752,1.2159389414064736,-1.3550211618095342
1398,55.956,-0.17781555899450457,0.8761744694656326,1.2414876599274205,-1.0489054846847787
1399,55.996,-0.11744765703863615,0.958652949340885,1.2647304742371521,-0.7848052594884011
1400,56.036,-0.06462574282725125,1.0275072492653752,1.2826894840057979,-0.5587324199808871
1401,56.076,-0.014319157864027555,1.0831281073685628,1.2942353348583255,-0.3646322840011861
1402,56.116,0.025926110106551405,1.1266927844660057,1.2993217246031996,-0.19727004286481678
1403,56.156,0.08126335356609747,1.1595256104384208,1.2985436715750893,-0.05326476847105429
1404,56.196,0.12905460928116,1.1833776147304473,1.2932852509406816,0.06953882118474249
1405,56.236,0.21973499553954345,1.2004832802453551,1.2854868175279137,0.17321619515601155
1406,56.276,0.34179008964194085,1.213054091283939,1.2769494089029467,0.26028398288162474
1407,56.316,0.42438645922965973,1.222816448061142,1.2688576753778216,0.33356456997175604
1408,56.356,0.4334094483086634,1.2306689839152418,1.26153246413184,0.39567341165457265
1409,56.396,0.4837160332718871,1.236535275666998,1.254429977030855,0.4483898089100476
1410,56.436,0.4786853747755647,1.2396997790085391,1.246579750123832,0.492402096116886
1411,56.476,0.4786853747755647,1.2389876928184929,1.2367558411550008,0.5274165773945694
1412,56.516,0.4510167530457917,1.2315907290690675,1.2223500497125697,0.5514819814865298
1413,56.556,0.35794957086382784,1.214656466440866,1.2011236014118851,0.5610258199808872
1414,56.596,0.1919378404851896,1.1898365593655875,1.17544312645637,0.5539687744096605
1415,56.636,0.023410780858390223,1.1629261924944445,1.1512184816917195,0.5322928932474195
1416,56.676,-0.074687059819896,1.1396039318183222,1.1333057167904834,0.501563446294921
1417,56.716,-0.11744765703863615,1.122988370818538,1.1233678815524173,0.4687271179440436
1418,56.756,-0.1249936447831197,1.1136274950519436,1.1203858043199124,0.4400868282936496
1419,56.798,-0.08726370606070193,1.110486160138846,1.1220215844372705,0.42025795817555517
1420,56.838,-0.04450310884196178,1.1119984812700463,1.125856630874418,0.41188950879533
1421,56.878,0.005803476121261926,1.1166332715535838,1.1300064219585009,0.41570970836196147
1422,56.918,0.09517161511087967,1.1231516613929153,1.1333384527090942,0.43078762591048037
1423,56.958,0.20492398232759634,1.1309357955376889,1.1357337422643736,0.4549311891909344
1424,56.998,0.2933576765015223,1.1398862082944743,1.1378633445759294,0.48511262272971906
1425,57.038,0.35794957086382784,1.149850872947114,1.1403944800329722,0.5180933016159829
1426,57.078,0.43592477755682457,1.1602845620827014,1.1434208622745612,0.5511687383173842
1427,57.118,0.4786853747755647,1.1703274026134711,1.1464435391460694,0.5825801621873344
1428,57.158,0.5717525569575286,1.178907994797151,1.1485480280138836,0.6112708474101297
1429,57.198,0.5994211786873016,1.1846400586837793,1.14847493153978,0.6361686249939665
1430,57.238,0.6572737513950089,1.1859559457587376,1.1449054438602564,0.655652733520085
1431,57.278,0.7226723118471997,1.1817699121272776,1.137127133969805,0.6678218049924614
1432,57.318,0.7478256043288115,1.1722261685045987,1.1256145649445182,0.6714559487520401
1433,57.358,0.7905862015475517,1.1591880231609368,1.1123139150586736,0.6670141758467425
