,timeStamps,Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
1135,45.4,0.6217977198234532,0.7938050155726138,-0.3116703593071801
1136,45.44,0.618087229063883,0.7931745813733354,-0.32349879675961934
1137,45.480000000000004,0.6266008642388136,0.80269420856424,-0.3232690891436687
1138,45.52,0.6447541912921687,0.8216602838290344,-0.31833831347119146
1139,45.56,0.6652133728989016,0.8424606138770615,-0.3108651058705886
1140,45.6,0.6805522943908195,0.8569406492321964,-0.3015466751348635
1141,45.64,0.6877723064316817,0.8612791490228411,-0.2889030490060427
1142,45.68,0.6887289808300935,0.8568894584931795,-0.270679210430797
1143,45.72,0.6864136556184545,0.8481526839993497,-0.250248797967702
1144,45.76,0.6847620808763357,0.839260192134201,-0.2268074826760642
1145,45.800000000000004,0.6860237017276971,0.8328732771658435,-0.20078140258818006
1146,45.84,0.6909364674685354,0.8299539959577782,-0.1726070125496225
1147,45.88,0.6990640296733875,0.8299157264699473,-0.14196704035908683
1148,45.92,0.7095148460670725,0.8314608605270222,-0.10788314392039641
1149,45.96,0.7214909290569423,0.8335280199021848,-0.06981319230902934
1150,46.0,0.7335372572657947,0.8354808443252565,-0.03109841033977287
1151,46.04,0.7432886217373751,0.8368196236522344,0.0010474602630776437
1152,46.08,0.752659667655721,0.8370104779676043,0.03559195972035004
1153,46.12,0.7597248850715822,0.8355202132458192,0.06708367256255543
1154,46.16000000000001,0.764550873290602,0.8321453557219276,0.09645087107486358
1155,46.2,0.7661068426441633,0.8276323118864305,0.1173357540566752
1156,46.24,0.7658200140365814,0.8246092548197584,0.12633580205018588
1157,46.28,0.7692898798012415,0.8279836282612023,0.12811442357593816
1158,46.32,0.7823193358439409,0.8431133021687187,0.12659722194488693
1159,46.36,0.8070418382469423,0.8719749403928126,0.12320471569512188
1160,46.4,0.8417818800544168,0.9112787227874297,0.12261280166017098
1161,46.44,0.8818208816090908,0.9546822764009836,0.12824828165475696
1162,46.480000000000004,0.9197509740499601,0.9957181111001899,0.1338589139575653
1163,46.52,0.9525831928035511,1.0298856195102317,0.14322558427025206
1164,46.56,0.9787970288428971,1.0562282275621364,0.1538285940719752
1165,46.6,1.0003107973777314,1.076460536841458,0.16715432321793985
1166,46.64,1.017879794780029,1.0924040531606731,0.17996661124003396
1167,46.68,1.0312446438287242,1.104327055224755,0.19039744459504176
1168,46.72,1.0393642797609888,1.1107788802276102,0.19937401175539105
1169,46.76,1.0414356812886265,1.1098906245138047,0.21011129762825312
1170,46.800000000000004,1.0377614232591987,1.1014835723031249,0.2243409447423725
1171,46.84,1.0305542004277555,1.0882084839871187,0.24153396014484055
1172,46.88,1.0227518320211009,1.0742683588296682,0.2587094758561927
1173,46.92,1.017066155464766,1.0630925435475094,0.27461708725581857
1174,46.96,1.015473814063107,1.0565957526240444,0.29029510591601493
1175,47.0,1.0194133135591539,1.055572097932461,0.30849691515743993
1176,47.04,1.027472686248494,1.059545827660951,0.32550756027600064
1177,47.08,1.0324394760839872,1.0664096016310876,0.3212745830664223
1178,47.12,1.032957002865195,1.0752089061837347,0.29388646140601127
1179,47.16000000000001,1.0411782670011955,1.0924506052580625,0.26727831317857803
1180,47.2,1.0696560077030368,1.1292228310750618,0.2516150571365401
1181,47.24,1.115577250070202,1.1855527365017848,0.23624574339271895
1182,47.28,1.1646355845228837,1.2444655619349976,0.2240439338987816
1183,47.32,1.200112575898058,1.2864013142654391,0.21744543494121668
1184,47.36,1.2160960769511222,1.3044265931108592,0.2173662610806544
1185,47.4,1.21707816395178,1.3046410124860452,0.22033847035969947
1186,47.44,1.2115906550328475,1.2973394498536301,0.22407586508818192
1187,47.480000000000004,1.2059022878050425,1.289205521991769,0.2298337504633833
1188,47.52,1.201404180748191,1.2814920920789532,0.2386584380308364
1189,47.56,1.197372795266009,1.2733055525353993,0.250812318852017
1190,47.6,1.1929265765186472,1.2648043764266932,0.26245762560978253
1191,47.64,1.1874657864348102,1.257261009549398,0.26710134205323716
1192,47.68,1.1800569487722135,1.2504182669163495,0.2620963049332101
1193,47.72,1.1845718641682847,1.2403454114467614,0.3126223369946985
1194,47.76,1.1790509335867578,1.221228870672096,0.3556175209485641
1195,47.800000000000004,1.1441585014342075,1.1895219810522866,0.3303143568614595
1196,47.84,1.0996323358088387,1.1466797253636292,0.3059622203503821
1197,47.88,1.0512010726011685,1.0980781666250832,0.28614728503330694
1198,47.92,1.0048406916080237,1.0494702874827042,0.2741279016227789
1199,47.96,0.9640448690725384,1.0053136300157273,0.26816151856258286
1200,48.0,0.9312408431481031,0.9692919790321024,0.265081164713303
1201,48.04,0.9088403477627698,0.9441620884260188,0.26475176618420765
1202,48.08,0.8969598325205653,0.9304417136701912,0.26588464525939265
1203,48.120000000000005,0.893602715558449,0.9261402203935584,0.26761970353467907
1204,48.16000000000001,0.8972367834986468,0.9285575287400931,0.27320498809726634
1205,48.2,0.9056623646416966,0.9358107527929396,0.28065880133396504
1206,48.24,0.916346615494992,0.9466939407014148,0.28449220875662495
1207,48.28,0.9292236087767757,0.9602003174231136,0.28781362367616337
1208,48.32,0.944676947803006,0.9753256246181959,0.29541069336412284
1209,48.36,0.9615957670653631,0.9909093232142787,0.30698148196727504
1210,48.4,0.9779399725363638,1.0054606892879416,0.31983617001957554
1211,48.44,0.9914172199515406,1.0173710115440426,0.33073123414827316
1212,48.480000000000004,1.0005271479533369,1.0253319141717538,0.33839528647070705
1213,48.52,1.0043062622287346,1.0280490537368123,0.3435256650408005
1214,48.56,1.00162182377884,1.0242493038432996,0.3461136078590602
1215,48.6,0.9920043580402419,1.013541733188074,0.3456997228770919
1216,48.64,0.9771528395370814,0.9967282575780051,0.3459892294196504
1217,48.68,0.9594503425489245,0.975328494466031,0.3508632479872301
1218,48.72,0.9408297041281724,0.9518548517298429,0.3592033218745714
1219,48.76,0.92430966025528,0.930152686061537,0.3695245018205673
1220,48.800000000000004,0.9123259263449497,0.9136413927352346,0.37957294037578154
1221,48.84,0.9059722163410854,0.903707915244227,0.38883150177045467
1222,48.88,0.9052987168619144,0.9003646976045112,0.39744711601744637
1223,48.92,0.909715557496718,0.9031187368140023,0.4048486412606419
1224,48.96,0.9185277091669458,0.9109223078897303,0.4119192233658181
1225,49.0,0.9313899300195441,0.9223314287681966,0.4221760326002454
1226,49.04,0.9471356695869924,0.9360235452543022,0.43564813164060756
1227,49.08,0.9637838795060552,0.9507296331246695,0.449128370622857
1228,49.120000000000005,0.8990723556711826,0.9649547921563562,0.15877186215685152
1229,49.16000000000001,0.7657444034063542,0.9605813004375182,-0.3271882066295281
1230,49.2,0.5707575586953619,0.8402069284635768,-0.6579578301003867
1231,49.24,0.19450395264425482,0.4934994391651915,-0.9147934687398722
1232,49.28,-0.3107501197996212,-0.01422979033265447,-1.1191821466515242
1233,49.32,-0.777632660458763,-0.49002572566162433,-1.285961143622217
1234,49.36,-1.1024379723462616,-0.8126215535558343,-1.430022350435678
1235,49.4,-1.2800120050123807,-0.9800957329426845,-1.5384216228448901
1236,49.44,-1.3581842199522638,-1.0420457055778656,-1.6253950085475573
1237,49.480000000000004,-1.3806936791691962,-1.0491910200566255,-1.686082065020641
1238,49.52,-1.384557245186524,-1.0399113820957044,-1.7315187498383178
1239,49.56,-1.3860431307507362,-1.032679022438317,-1.7612049110795815
